nmfat,dtfat,idcli,npais,quant,valor,,,,Média dos Valores:,408.22
543658,2/28/2021 11:46:00,16422,United Kingdom,467,513.45,,,,,
543660,3/3/2021 15:17,17757,United Kingdom,57,137.62,,,,,
543664,8/21/2021 13:11:00,14911,Ireland,148,458.9,,,,,
543668,10/20/2021 14:33:00,14585,United Kingdom,91,157.05,,,,,
543669,7/27/2021 13:18:00,14680,United Kingdom,1501,2688.27,,,,,
543670,9/19/2021 15:21:00,17628,United Kingdom,79,75.75,,,,,
543672,9/8/2021 10:47,13769,United Kingdom,95,282.23,,,,,
543673,11/30/2021 17:12:00,17340,United Kingdom,-41,-121.84,,,,,
543674,12/1/2021 12:41,16554,United Kingdom,1,0.85,,,,,
543675,10/28/2021 10:02:00,16966,United Kingdom,-1,-0.5,,,,,
543691,10/20/2021 13:46:00,13263,United Kingdom,169,178.32,,,,,
543693,10/18/2021 10:58:00,16140,United Kingdom,-2,-17,,,,,
543713,5/19/2021 14:08:00,15862,United Kingdom,235,136.78,,,,,
543730,1/12/2020 17:06,,United Kingdom,1478,6915.65,,,,,
543731,1/9/2021 14:13,14414,United Kingdom,334,174.06,,,,,
543732,1/12/2020 14:03,15165,United Kingdom,160,487.75,,,,,
543733,12/14/2020 13:01:00,14298,United Kingdom,78,146.46,,,,,
543734,11/5/2021 10:32,14920,United Kingdom,292,572.24,,,,,
543735,5/12/2021 11:35,,United Kingdom,-1,-11586.5,,,,,
543736,4/4/2021 15:35,18044,United Kingdom,27,124.15,,,,,
543737,5/17/2021 11:47:00,17677,United Kingdom,-3,-22.35,,,,,
543738,12/15/2020 16:50:00,15107,United Kingdom,-7,-63.34,,,,,
543739,7/31/2021 15:50:00,17404,Sweden,2567,3633.58,,,,,
543740,1/3/2021 11:48,15311,United Kingdom,1003,1390.06,,,,,
543747,10/18/2021 13:10:00,16515,United Kingdom,138,376.78,,,,,
543748,5/25/2021 16:59:00,14292,United Kingdom,-10,-20.8,,,,,
543751,11/18/2021 15:13:00,,United Kingdom,-1,-27.21,,,,,
543753,8/22/2021 15:27:00,14045,United Kingdom,48,408,,,,,
543754,4/21/2021 19:05:00,14512,United Kingdom,50,126.32,,,,,
543759,6/10/2021 19:21,13317,United Kingdom,-1,-12.5,,,,,
543762,5/26/2021 16:25:00,13015,United Kingdom,238,783.67,,,,,
543770,5/23/2021 14:18:00,15434,United Kingdom,199,306.96,,,,,
543774,2/9/2021 10:34,15860,United Kingdom,72,112.86,,,,,
543777,11/14/2021 14:24:00,17793,United Kingdom,232,323.04,,,,,
543782,1/6/2021 17:42,16348,United Kingdom,66,127.62,,,,,
543783,11/30/2021 16:09:00,17288,United Kingdom,240,200.04,,,,,
543788,11/27/2021 15:18:00,17231,United Kingdom,283,464.77,,,,,
543796,4/4/2021 13:38,13263,United Kingdom,255,406.82,,,,,
543797,6/17/2021 16:23:00,17961,United Kingdom,2,11.9,,,,,
543798,7/26/2021 16:22:00,17693,United Kingdom,-1,-4.95,,,,,
543799,2/2/2021 13:28,17961,United Kingdom,2,7.2,,,,,
543800,8/12/2021 9:46,14520,United Kingdom,46,105.6,,,,,
543801,7/7/2021 12:38,12471,Germany,298,739.64,,,,,
543802,2/9/2021 12:33,16210,United Kingdom,120,344.88,,,,,
543803,5/9/2021 13:10,14243,United Kingdom,165,315.17,,,,,
543804,1/21/2021 14:51:00,16210,United Kingdom,1,10,,,,,
543805,6/17/2021 9:11:00,17306,United Kingdom,288,305.28,,,,,
543806,10/27/2021 14:59:00,17652,United Kingdom,277,353.39,,,,,
543807,1/9/2021 18:07,14420,United Kingdom,334,387.52,,,,,
543808,12/9/2021 12:20,14527,United Kingdom,50,207.57,,,,,
543809,4/12/2021 15:47,12569,Germany,34,92.55,,,,,
543810,7/2/2021 10:50,14180,United Kingdom,16,143.92,,,,,
543812,6/29/2021 13:58:00,14327,United Kingdom,139,311.65,,,,,
543813,11/17/2021 15:16:00,17799,United Kingdom,409,524.18,,,,,
543814,3/5/2021 12:49,12947,United Kingdom,-1,-4.95,,,,,
543815,9/14/2021 15:49:00,13877,United Kingdom,108,117.24,,,,,
543816,9/13/2021 10:03:00,16422,United Kingdom,316,358.2,,,,,
543820,2/18/2021 8:34:00,13425,United Kingdom,282,401.57,,,,,
543821,8/30/2021 12:10:00,,United Kingdom,527,1564.23,,,,,
543822,10/3/2021 7:42,13538,United Kingdom,50,337.5,,,,,
543823,4/13/2021 14:25:00,15026,United Kingdom,23,121.8,,,,,
543824,10/12/2020 15:21,16565,United Kingdom,46,173.7,,,,,
543825,8/12/2021 13:46,13510,United Kingdom,254,341.86,,,,,
543826,8/31/2021 15:13:00,17659,United Kingdom,30,102.48,,,,,
543827,7/20/2021 11:23:00,15802,United Kingdom,-1,-451.42,,,,,
543828,1/3/2021 14:53,12747,United Kingdom,146,310.78,,,,,
543829,11/27/2021 15:02:00,15054,United Kingdom,87,133.68,,,,,
543831,8/12/2021 10:26,14291,United Kingdom,4,19.8,,,,,
543832,7/8/2021 13:17,14331,United Kingdom,16,79,,,,,
543833,6/4/2021 10:46,15529,United Kingdom,99,198.91,,,,,
543836,5/23/2021 14:19:00,,United Kingdom,75,588.22,,,,,
543839,8/14/2021 15:39:00,15376,United Kingdom,162,334.85,,,,,
543842,6/1/2021 18:24,14702,United Kingdom,55,237.65,,,,,
543852,11/23/2021 15:23:00,16057,United Kingdom,243,718.89,,,,,
543899,10/24/2021 12:06:00,17811,United Kingdom,-16,-27.9,,,,,
543900,3/18/2021 13:32:00,12748,United Kingdom,-224,-167.43,,,,,
543901,11/11/2021 12:44,12985,United Kingdom,841,754.38,,,,,
543907,5/24/2021 14:00:00,16327,United Kingdom,402,729.07,,,,,
543908,11/20/2021 14:20:00,18040,United Kingdom,52,118.2,,,,,
543911,2/16/2021 11:54:00,13199,United Kingdom,135,434.6,,,,,
543912,1/8/2021 11:44,15581,United Kingdom,2,250,,,,,
543913,9/5/2021 17:24,14541,United Kingdom,26,38.3,,,,,
543914,2/16/2021 15:47:00,16684,United Kingdom,-144,-152.64,,,,,
543915,9/27/2021 10:26:00,16145,United Kingdom,342,341.62,,,,,
543916,3/24/2021 11:43:00,15144,United Kingdom,190,232.9,,,,,
543920,8/12/2020 13:33,14299,United Kingdom,-20,-209,,,,,
543921,2/18/2021 15:59:00,15601,United Kingdom,-1,-1.25,,,,,
543922,8/6/2021 12:36,15159,United Kingdom,152,54.48,,,,,
543923,10/24/2021 10:43:00,14607,United Kingdom,744,1116,,,,,
543924,8/8/2021 14:15,17085,United Kingdom,157,347.75,,,,,
543934,9/30/2021 10:18:00,16101,United Kingdom,757,1290.7,,,,,
543935,11/14/2021 11:26:00,15168,United Kingdom,52,106.56,,,,,
543973,11/9/2021 15:31,12965,United Kingdom,283,771.91,,,,,
543975,11/18/2021 10:05:00,16134,United Kingdom,213,334.56,,,,,
543976,8/31/2021 14:28:00,14525,United Kingdom,126,224.64,,,,,
543977,4/28/2021 18:27:00,15845,United Kingdom,-6,-51,,,,,
543978,11/24/2021 12:33:00,16482,United Kingdom,346,220.62,,,,,
543979,10/27/2021 10:53:00,15786,United Kingdom,-5,-30.8,,,,,
543983,9/3/2021 15:47,12388,Australia,90,210.9,,,,,
543984,10/3/2021 10:34,14227,United Kingdom,-2,-2.9,,,,,
543985,3/15/2021 12:56:00,14092,United Kingdom,100,238.2,,,,,
543986,11/16/2021 12:16:00,16717,United Kingdom,930,1995.56,,,,,
543987,8/30/2021 11:32:00,14108,United Kingdom,209,291.33,,,,,
543988,3/10/2021 15:52,14651,United Kingdom,158,238.28,,,,,
543989,9/12/2020 13:24,18041,United Kingdom,154,205.35,,,,,
543990,3/6/2021 13:50,17949,United Kingdom,120,1314,,,,,
543991,3/5/2021 16:09,,United Kingdom,289,1248.33,,,,,
543993,8/18/2021 17:39:00,14051,United Kingdom,128,742.8,,,,,
543994,7/8/2021 15:39,12748,United Kingdom,72,53.52,,,,,
543995,2/21/2021 12:44:00,15687,United Kingdom,-1,-9.95,,,,,
543996,4/19/2021 11:03:00,17071,United Kingdom,-2,-9.9,,,,,
543997,6/10/2021 18:45,13993,United Kingdom,112,460.4,,,,,
543998,3/20/2021 15:46:00,12428,Finland,63,409.2,,,,,
544035,1/12/2021 15:06,13171,United Kingdom,-1,-20.8,,,,,
544036,10/10/2021 12:26,17706,United Kingdom,459,1322.82,,,,,
544037,6/12/2020 9:21,13652,United Kingdom,112,308.8,,,,,
544039,10/16/2021 12:06:00,15351,United Kingdom,101,269.96,,,,,
544040,10/12/2020 10:26,13000,United Kingdom,77,201.75,,,,,
544041,2/18/2021 12:56:00,16401,United Kingdom,122,177.9,,,,,
544042,1/12/2021 13:40,16966,United Kingdom,276,385.8,,,,,
544043,3/15/2021 16:47:00,13121,United Kingdom,252,283.73,,,,,
544044,2/18/2021 10:32:00,18229,United Kingdom,60,359.8,,,,,
544045,12/20/2020 14:33:00,14606,United Kingdom,33,109.88,,,,,
544051,11/22/2021 12:39:00,16985,United Kingdom,146,522.98,,,,,
544055,12/15/2020 12:43:00,13426,United Kingdom,142,336.98,,,,,
544056,8/18/2021 16:18:00,15144,United Kingdom,194,506.9,,,,,
544058,9/8/2021 10:16,17554,United Kingdom,662,477.46,,,,,
544059,9/16/2021 12:34:00,18122,United Kingdom,104,201.94,,,,,
544060,10/10/2021 9:18,14156,Ireland,360,1974,,,,,
544061,8/12/2021 11:43,16442,United Kingdom,92,179.76,,,,,
544062,6/6/2021 16:06,,United Kingdom,320,1498.09,,,,,
544063,11/20/2021 15:52:00,14415,United Kingdom,38,111.18,,,,,
544064,3/16/2021 13:47:00,,United Kingdom,-1,-2.1,,,,,
544065,3/23/2021 11:44:00,17830,United Kingdom,17,99.15,,,,,
544066,10/12/2020 15:01,13798,United Kingdom,-108,-183.6,,,,,
544067,10/5/2021 15:05,16710,United Kingdom,142,324.76,,,,,
544068,10/14/2021 14:28:00,15856,United Kingdom,112,47.04,,,,,
544069,12/23/2020 9:55:00,15562,United Kingdom,39,134.55,,,,,
544070,9/22/2021 17:56:00,16173,United Kingdom,32,109.2,,,,,
544071,11/7/2021 15:32,12748,United Kingdom,4,5.8,,,,,
544072,12/17/2020 16:53:00,15570,United Kingdom,78,196.75,,,,,
544073,3/23/2021 16:35:00,14075,United Kingdom,270,307.92,,,,,
544074,9/11/2021 13:54,13209,United Kingdom,357,599.95,,,,,
544075,3/14/2021 8:37:00,12778,Netherlands,152,117.93,,,,,
544076,7/25/2021 12:09:00,17841,United Kingdom,836,822.86,,,,,
544077,7/12/2020 12:00,,United Kingdom,-1,-95.38,,,,,
544078,12/1/2021 11:21,17324,United Kingdom,555,575.18,,,,,
544079,12/17/2020 14:49:00,,United Kingdom,833,4390.32,,,,,
544081,11/13/2021 15:44:00,16898,United Kingdom,169,189.34,,,,,
544082,8/21/2021 9:18:00,16330,United Kingdom,-2,-9.7,,,,,
544083,11/25/2021 11:33:00,12681,France,318,706.5,,,,,
544084,5/18/2021 14:50:00,13263,United Kingdom,102,167.64,,,,,
544085,8/26/2021 12:55:00,18036,United Kingdom,71,143.74,,,,,
544086,8/12/2020 10:21,18077,United Kingdom,171,204.87,,,,,
544087,2/8/2021 8:48,12347,Iceland,277,584.91,,,,,
544088,11/23/2021 9:23:00,15804,United Kingdom,-6,-11.7,,,,,
544089,6/9/2021 14:05,14040,United Kingdom,-19,-16.15,,,,,
544092,8/12/2020 16:15,16252,United Kingdom,-158,-295.09,,,,,
544093,8/7/2021 15:57,,United Kingdom,33,214.79,,,,,
544094,4/10/2021 9:49,12989,United Kingdom,80,566.4,,,,,
544095,1/11/2021 11:39,14995,United Kingdom,52,113.92,,,,,
544096,6/10/2021 11:47,13602,United Kingdom,267,428.89,,,,,
544097,8/31/2021 13:24:00,13078,United Kingdom,-12,-2.28,,,,,
544098,11/18/2021 10:24:00,13323,United Kingdom,30,137.3,,,,,
544100,8/12/2021 13:47,13680,United Kingdom,324,638.38,,,,,
544102,12/15/2020 10:41:00,16954,United Kingdom,194,346.8,,,,,
544103,1/11/2021 17:20,17576,United Kingdom,53,132.53,,,,,
544104,2/14/2021 10:59:00,15827,United Kingdom,-9,-37.06,,,,,
544105,11/23/2021 8:17:00,15814,United Kingdom,236,368.14,,,,,
544106,6/22/2021 14:47:00,16458,United Kingdom,156,222,,,,,
544107,11/4/2021 13:55,13089,United Kingdom,12,153,,,,,
544108,11/22/2021 16:43:00,17519,United Kingdom,194,356.02,,,,,
544109,2/6/2021 11:51,13267,United Kingdom,-2,-3.9,,,,,
544110,1/6/2021 12:05,17315,United Kingdom,177,262.61,,,,,
544112,9/12/2020 15:53,,United Kingdom,2,7.5,,,,,
544115,3/10/2021 9:57,14096,United Kingdom,710,2900.99,,,,,
544125,2/2/2021 15:26,14798,United Kingdom,76,75.68,,,,,
544129,8/11/2021 13:10,13975,United Kingdom,552,741.22,,,,,
544147,10/17/2021 11:12:00,12783,Portugal,-1,-283.02,,,,,
544150,6/11/2021 12:16,13727,United Kingdom,120,223.08,,,,,
544151,6/14/2021 10:49:00,14680,United Kingdom,555,976.25,,,,,
544152,4/26/2021 12:12:00,16356,United Kingdom,1,2.1,,,,,
544154,5/20/2021 12:44:00,17940,United Kingdom,-1,-75,,,,,
544155,2/2/2021 15:13,13576,United Kingdom,111,349.89,,,,,
544156,4/3/2021 12:46,12547,Spain,109,159.4,,,,,
544157,10/5/2021 15:05,,United Kingdom,68,468.8,,,,,
544158,8/18/2021 16:19:00,13576,United Kingdom,108,332.04,,,,,
544159,5/10/2021 12:13,12748,United Kingdom,493,287.94,,,,,
544160,8/12/2021 12:50,17673,United Kingdom,93,112.47,,,,,
544161,7/15/2021 16:06:00,14572,United Kingdom,248,400.76,,,,,
544162,3/20/2021 13:38:00,17068,United Kingdom,83,185.85,,,,,
544163,5/25/2021 11:26:00,15039,United Kingdom,299,659.35,,,,,
544164,3/8/2021 12:06,15628,United Kingdom,245,308.43,,,,,
544165,11/28/2021 13:08:00,13882,United Kingdom,152,265.24,,,,,
544166,6/10/2021 14:37,13812,Germany,67,139.88,,,,,
544167,1/26/2021 13:44:00,16714,United Kingdom,-2,-250,,,,,
544168,7/28/2021 14:03:00,16843,United Kingdom,1704,1024.44,,,,,
544169,10/26/2021 14:39:00,12569,Germany,19,67.74,,,,,
544170,9/20/2021 12:21:00,14221,United Kingdom,467,471.88,,,,,
544176,11/29/2021 11:41:00,14408,United Kingdom,162,308.22,,,,,
544177,10/28/2021 15:10:00,14416,United Kingdom,262,361,,,,,
544178,11/18/2021 11:07:00,13305,United Kingdom,141,316.45,,,,,
544179,10/10/2021 13:33,15608,United Kingdom,24,24.96,,,,,
544180,10/3/2021 11:56,18173,United Kingdom,664,853.48,,,,,
544181,8/31/2021 10:06:00,17725,United Kingdom,221,308.69,,,,,
544182,5/20/2021 14:35:00,15290,United Kingdom,217,362.19,,,,,
544183,4/3/2021 12:42,12755,Japan,3,17.55,,,,,
544185,2/9/2021 14:42,14178,United Kingdom,114,180.47,,,,,
544186,11/24/2021 9:51:00,15632,United Kingdom,205,306.35,,,,,
544187,9/10/2021 13:30,15756,United Kingdom,75,168.12,,,,,
544189,9/11/2021 13:58,14968,United Kingdom,127,147.59,,,,,
544190,6/12/2021 9:29,17659,United Kingdom,-3,-14.11,,,,,
544191,7/24/2021 12:02:00,16525,United Kingdom,598,452.42,,,,,
544192,1/12/2021 13:22,17768,United Kingdom,379,861.85,,,,,
544194,6/13/2021 15:30:00,,United Kingdom,451,1715.65,,,,,
544195,9/22/2021 9:38:00,15810,United Kingdom,-5,-5.35,,,,,
544197,12/16/2020 18:38:00,17848,United Kingdom,22,97.3,,,,,
544198,8/5/2021 12:39,13561,United Kingdom,83,141.86,,,,,
544199,1/4/2021 10:18,,Israel,30,110,,,,,
544200,10/30/2021 14:44:00,14895,United Kingdom,520,965.78,,,,,
544201,9/30/2021 12:19:00,12748,United Kingdom,192,381.87,,,,,
544202,1/23/2021 10:32:00,17714,United Kingdom,92,153,,,,,
544203,9/19/2021 10:43:00,15365,United Kingdom,325,765.15,,,,,
544204,5/19/2021 12:24:00,12524,Germany,470,400.88,,,,,
544205,12/15/2020 10:31:00,13611,United Kingdom,183,303.15,,,,,
544206,12/21/2020 15:20:00,,United Kingdom,36,365.26,,,,,
544207,8/22/2021 15:43:00,17083,United Kingdom,210,409.76,,,,,
544208,9/14/2021 9:31:00,12756,Japan,144,112.08,,,,,
544210,8/11/2021 13:31,18123,United Kingdom,392,323.48,,,,,
544211,10/14/2021 16:49:00,17892,United Kingdom,36,91.8,,,,,
544214,6/16/2021 19:59:00,17841,United Kingdom,204,463.6,,,,,
544271,7/9/2021 12:44,,United Kingdom,758,5557.66,,,,,
544277,10/20/2021 19:29:00,14911,Ireland,-21,-54.9,,,,,
544278,3/21/2021 12:20:00,12779,Poland,-9,-14.39,,,,,
544280,6/12/2021 13:37,12989,United Kingdom,-24,-61.2,,,,,
544281,6/2/2021 16:08,12956,United Kingdom,34,108.07,,,,,
544282,10/20/2021 11:30:00,17651,United Kingdom,243,333.01,,,,,
544283,7/2/2021 15:01,16321,Australia,21,67.95,,,,,
544286,6/22/2021 14:10:00,17669,United Kingdom,300,453.72,,,,,
544292,6/10/2021 13:29,14449,United Kingdom,311,313.4,,,,,
544293,8/11/2021 11:20,14140,United Kingdom,517,540.99,,,,,
544294,8/28/2021 13:42:00,16353,United Kingdom,204,505.8,,,,,
544295,11/24/2021 18:13:00,14756,United Kingdom,416,738.96,,,,,
544296,1/2/2021 10:22,15864,United Kingdom,-4,-13.9,,,,,
544297,10/18/2021 14:34:00,13860,United Kingdom,80,184.64,,,,,
544298,3/28/2021 11:34:00,17841,United Kingdom,119,246.61,,,,,
544299,6/12/2021 12:18,14113,United Kingdom,231,471.9,,,,,
544301,12/14/2020 9:26:00,16161,United Kingdom,-3,-32.65,,,,,
544302,10/3/2021 12:42,14976,United Kingdom,46,115.57,,,,,
544303,8/11/2021 16:25,15271,United Kingdom,-5,-21.25,,,,,
544304,4/26/2021 11:51:00,16442,United Kingdom,291,285.37,,,,,
544305,7/6/2021 14:12,14911,Ireland,192,254.31,,,,,
544306,2/22/2021 13:59:00,15303,United Kingdom,248,574.02,,,,,
544307,9/10/2021 11:53,16066,United Kingdom,356,364.59,,,,,
544308,7/20/2021 11:40:00,15802,United Kingdom,-1,-451.42,,,,,
544309,5/5/2021 17:26,14713,United Kingdom,196,292.42,,,,,
544311,12/8/2021 13:27,17381,United Kingdom,320,528,,,,,
544312,3/3/2021 15:30,12500,Germany,193,249.84,,,,,
544313,5/25/2021 15:54:00,14415,United Kingdom,188,387.1,,,,,
544314,2/12/2021 13:37,15856,United Kingdom,109,264.99,,,,,
544315,10/14/2021 13:24:00,17451,United Kingdom,48,18.72,,,,,
544316,3/23/2021 15:55:00,,United Kingdom,108,723.46,,,,,
544317,5/12/2021 10:19,14931,Channel Islands,60,198.4,,,,,
544319,6/9/2021 9:34,17700,United Kingdom,326,556.26,,,,,
544320,10/31/2021 13:51:00,17675,United Kingdom,334,764.32,,,,,
544321,9/26/2021 15:28:00,14096,United Kingdom,-1,-447.56,,,,,
544322,7/9/2021 14:30,17949,United Kingdom,504,534.24,,,,,
544323,1/26/2021 17:43:00,16882,United Kingdom,2,9.9,,,,,
544324,1/23/2021 13:31:00,17611,United Kingdom,367,497.48,,,,,
544325,8/30/2021 12:43:00,,United Kingdom,462,1704.22,,,,,
544326,11/24/2021 12:36:00,12471,Germany,260,590.32,,,,,
544328,5/26/2021 18:17:00,14740,United Kingdom,251,555.71,,,,,
544329,7/6/2021 13:27,14880,United Kingdom,179,234.07,,,,,
544330,3/25/2021 14:50:00,12621,Germany,484,960,,,,,
544331,6/10/2021 9:32,12431,Australia,28,89.8,,,,,
544332,11/22/2021 17:32:00,12936,United Kingdom,53,79.48,,,,,
544333,4/21/2021 10:16:00,12670,France,278,633.05,,,,,
544334,10/23/2021 11:42:00,15000,United Kingdom,218,490.52,,,,,
544335,2/12/2020 17:19,14625,United Kingdom,-3,-37.65,,,,,
544336,3/17/2021 15:41:00,16377,United Kingdom,1500,676.2,,,,,
544337,11/23/2021 13:37:00,12748,United Kingdom,3,12.75,,,,,
544338,11/30/2021 9:53:00,12957,United Kingdom,674,968.9,,,,,
544339,11/29/2021 12:10:00,17306,United Kingdom,1024,696.8,,,,,
544340,6/9/2021 11:58,14360,United Kingdom,745,1134.69,,,,,
544341,2/11/2021 13:14,16210,United Kingdom,264,843.6,,,,,
544342,7/19/2021 12:54:00,15311,United Kingdom,505,750.93,,,,,
544343,3/3/2021 10:26,14483,United Kingdom,97,137.1,,,,,
544344,9/25/2021 13:30:00,13536,United Kingdom,319,455.17,,,,,
544346,4/14/2021 19:16:00,15135,United Kingdom,43,139.05,,,,,
544347,4/21/2021 19:51:00,15810,United Kingdom,280,476.8,,,,,
544348,4/9/2021 16:08,17410,United Kingdom,49,117.15,,,,,
544349,2/18/2021 10:16:00,15290,United Kingdom,149,298.73,,,,,
544350,10/5/2021 15:25,12749,United Kingdom,262,859.1,,,,,
544351,5/9/2021 9:49,14129,United Kingdom,178,315.78,,,,,
544352,6/5/2021 9:07,12476,Germany,-2,-5.1,,,,,
544353,11/15/2021 16:34:00,13854,United Kingdom,60,310.04,,,,,
544354,7/18/2021 15:11:00,15369,United Kingdom,-1,-1592.49,,,,,
544355,12/12/2020 14:27,15044,United Kingdom,311,835.95,,,,,
544356,9/16/2021 13:33:00,15975,United Kingdom,243,371.01,,,,,
544368,8/24/2021 9:06:00,15270,United Kingdom,-44,-39.89,,,,,
544390,11/28/2021 14:31:00,17811,United Kingdom,-12,-65.4,,,,,
544391,1/31/2021 12:34:00,13408,United Kingdom,472,631.36,,,,,
544392,7/3/2021 12:50,13001,United Kingdom,338,591.02,,,,,
544393,1/19/2021 10:49:00,17091,United Kingdom,240,594.7,,,,,
544394,7/26/2021 13:03:00,15203,United Kingdom,426,301.98,,,,,
544395,7/26/2021 12:57:00,16942,United Kingdom,103,191.89,,,,,
544396,9/19/2021 14:38:00,14290,United Kingdom,78,293.54,,,,,
544398,2/16/2021 13:14:00,14755,United Kingdom,134,506.02,,,,,
544399,8/23/2021 13:30:00,17940,United Kingdom,300,75,,,,,
544400,6/27/2021 12:38:00,16033,United Kingdom,267,626.41,,,,,
544404,7/24/2021 12:26:00,13831,United Kingdom,122,357.4,,,,,
544405,10/12/2020 10:29,,United Kingdom,1,2.95,,,,,
544406,9/22/2021 8:41:00,16558,United Kingdom,307,416.14,,,,,
544407,4/9/2021 12:10,16744,United Kingdom,98,161.82,,,,,
544409,9/27/2021 11:19:00,16626,United Kingdom,-8,-13.2,,,,,
544410,6/12/2020 13:12,15882,United Kingdom,48,100.8,,,,,
544411,9/27/2021 11:50:00,12517,Germany,210,417.2,,,,,
544412,6/22/2021 15:30:00,17389,United Kingdom,42,52.5,,,,,
544418,5/18/2021 12:46:00,16814,United Kingdom,187,600.39,,,,,
544421,6/12/2020 12:06,16719,United Kingdom,146,430.73,,,,,
544423,10/26/2021 13:45:00,15311,United Kingdom,213,423.81,,,,,
544430,8/9/2021 12:48,12955,United Kingdom,424,496.44,,,,,
544431,4/11/2021 13:55,17841,United Kingdom,-1,-2.55,,,,,
544434,6/12/2020 13:53,16550,United Kingdom,257,554.66,,,,,
544438,10/1/2021 9:48,12500,Germany,243,344.94,,,,,
544439,12/20/2020 12:05:00,15078,United Kingdom,144,327.6,,,,,
544440,7/28/2021 10:50:00,17649,United Kingdom,-1,-6.75,,,,,
544441,11/10/2021 11:03,17119,United Kingdom,306,547.25,,,,,
544443,1/11/2021 15:12,16458,United Kingdom,112,195.02,,,,,
544446,1/31/2021 12:50:00,18095,United Kingdom,194,205.3,,,,,
544447,5/23/2021 14:01:00,15769,United Kingdom,848,1742.8,,,,,
544448,2/14/2021 14:29:00,12993,United Kingdom,64,102.9,,,,,
544449,11/15/2021 13:24:00,14522,United Kingdom,96,143.04,,,,,
544450,3/28/2021 12:18:00,,United Kingdom,-2,-684.91,,,,,
544452,10/16/2021 12:19:00,13878,United Kingdom,475,1281.53,,,,,
544453,6/10/2021 9:48,13999,United Kingdom,142,308.44,,,,,
544454,9/3/2021 11:18,15078,United Kingdom,-1,-12.75,,,,,
544455,8/23/2021 11:16:00,14404,United Kingdom,164,309.24,,,,,
544456,4/8/2021 10:23,17735,United Kingdom,538,954,,,,,
544457,1/14/2021 15:29:00,16839,United Kingdom,80,349.2,,,,,
544459,10/26/2021 12:14:00,14550,United Kingdom,207,340.79,,,,,
544460,9/14/2021 9:16:00,13798,United Kingdom,196,327.8,,,,,
544461,10/3/2021 14:14,14350,United Kingdom,183,282.93,,,,,
544462,3/10/2021 13:39,16875,United Kingdom,581,957.33,,,,,
544463,3/24/2021 10:48:00,13488,United Kingdom,259,713.95,,,,,
544464,9/29/2021 13:13:00,16361,United Kingdom,206,334.94,,,,,
544465,6/23/2021 12:42:00,14911,Ireland,187,370.85,,,,,
544466,4/2/2021 9:03,17334,United Kingdom,290,296.52,,,,,
544467,12/9/2021 14:54,16839,United Kingdom,438,987.94,,,,,
544469,1/4/2021 13:22,14852,United Kingdom,368,490.4,,,,,
544470,3/22/2021 12:31:00,15298,United Kingdom,168,365.36,,,,,
544471,10/14/2021 11:09:00,15478,United Kingdom,288,826.83,,,,,
544472,8/17/2021 15:53:00,16706,United Kingdom,165,291.53,,,,,
544473,5/31/2021 10:24:00,17061,United Kingdom,66,382.7,,,,,
544474,3/25/2021 15:24:00,16081,United Kingdom,241,410.53,,,,,
544475,1/6/2021 10:15,12473,Germany,557,672.19,,,,,
544476,11/16/2021 17:24:00,12748,United Kingdom,149,293.92,,,,,
544477,2/24/2021 18:07:00,,United Kingdom,332,1336.1,,,,,
544478,2/10/2021 14:25,16930,United Kingdom,185,195.31,,,,,
544479,9/3/2021 11:54,17138,United Kingdom,126,380.5,,,,,
544480,11/5/2021 7:35,13098,United Kingdom,1015,1974.06,,,,,
544481,6/10/2021 18:40,18172,United Kingdom,-2,-5.83,,,,,
544482,6/12/2021 12:21,16979,United Kingdom,58,231.74,,,,,
544483,3/25/2021 8:50:00,12520,Germany,128,246.54,,,,,
544485,11/15/2021 15:22:00,14911,Ireland,195,524.28,,,,,
544495,8/12/2021 11:21,,United Kingdom,1074,4839.42,,,,,
544554,11/22/2021 13:41:00,16633,United Kingdom,261,647.94,,,,,
544556,12/21/2020 12:44:00,,United Kingdom,3,2.55,,,,,
544568,9/9/2021 8:48,12535,France,104,344.9,,,,,
544569,3/29/2021 11:39:00,16871,United Kingdom,36,35.04,,,,,
544571,8/18/2021 9:39:00,13027,United Kingdom,3840,1536,,,,,
544572,6/21/2021 12:35:00,17695,United Kingdom,358,353.6,,,,,
544573,1/25/2021 14:45:00,14248,United Kingdom,102,302.58,,,,,
544574,5/12/2021 12:13,16682,United Kingdom,170,110.86,,,,,
544578,3/18/2021 15:42:00,17017,United Kingdom,287,368.36,,,,,
544579,4/14/2021 15:46:00,17930,United Kingdom,172,390.6,,,,,
544582,10/17/2021 14:42:00,15033,United Kingdom,250,344.38,,,,,
544585,5/5/2021 7:37,16422,United Kingdom,222,385.14,,,,,
544586,11/30/2021 11:08:00,16241,United Kingdom,357,609.4,,,,,
544592,6/13/2021 11:49:00,15491,United Kingdom,321,765.03,,,,,
544595,2/15/2021 9:59:00,15122,United Kingdom,236,397.04,,,,,
544596,5/23/2021 12:38:00,,United Kingdom,15,33.03,,,,,
544597,1/19/2021 12:52:00,12826,United Kingdom,266,212.72,,,,,
544598,5/13/2021 14:22:00,17841,United Kingdom,-4,-5.88,,,,,
544599,6/21/2021 17:21:00,16145,United Kingdom,-10,-16.5,,,,,
544601,9/29/2021 16:41:00,14709,United Kingdom,160,311.3,,,,,
